data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10110,COCC11248465,'202212260451452671376351,'202212260520052671385412,COCV_545,9000,2022-12-26 15:05:37.0,SHP,SHP,null,chavez.esneider_m,
10111,COCC11248466,'202212260515232671384764,'202212260522052671387685,COCV_545,9000,2022-12-26 10:08:19.0,SHP,SHP,null,chavez.esneider_m,
10112,COCC11248468,'202212260606202671407206,'202212260611202671411052,COCV_181,9000,2022-12-26 06:31:24.0,SHP,SHP,null,null,
10113,COCC11248469,'202212261110532673393799,'202212261113202673395131,COCV_220,9000,2022-12-26 11:33:23.0,SHP,SHP,null,null,
10114,COCC11248469,'202212261110532673393799,'202212261136002673413620,COCV_621,9000,2022-12-26 13:05:32.0,SHP,SHP,null,martinez.maria_m,
10115,COCC11248488,'202212261223302673490621,'202212261236572673520143,COCV_181,9000,2022-12-26 12:42:54.0,SHP,SHP,BO,sena.laudid_m,
10116,COCC11248499,'202212261234052673514009,'202212261238562673524533,COCV_688,9000,2022-12-26 12:45:06.0,SHP,SHP,BO,osso.osmary_m,
10117,COCC11248500,'202212261234102673514142,'202212261238562673524561,COCV_578,9000,2022-12-26 13:20:21.0,SHP,SHP,null,null,
10118,COCC11248525,'202212261257162673568890,'202212261300242673578383,COCV_101,9000,2022-12-26 13:06:20.0,SHP,SHP,BO,clavijo.kelly_m,
10119,COCC11248532,'202212261304362673592204,'202212261307202673600089,COCV_621,9000,2022-12-26 13:13:44.0,SHP,SHP,BO,martinez.maria_m,
