data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
89,CO11353903,'202212010403422502985834,'202212010405082502992339,COCV_545,9000,2022-12-01 04:06:25.0,SHP,SHP,BO,chavez.esneider_m,
90,CO11353931,'202212010443442503175964,'202212010445082503182333,COCV_381,9000,2022-12-01 04:46:13.0,SHP,SHP,BO,lopez.andrea_m,
91,CO11353936,'202212010453432503223977,'202212010455092503230135,COCV_549,9000,2022-12-01 04:56:37.0,SHP,SHP,BO,acosta.ismael_m,
92,CO11353939,'202212010443432503175903,'202212010445062503181878,COCV_545,9000,2022-12-01 04:45:57.0,SHP,SHP,BO,chavez.esneider_m,
93,CO11353947,'202212010503422503270645,'202212010505082503276989,COCV_643,9000,2022-12-01 12:30:35.0,SHP,SHP,BO,gomez.brayan_m,
94,CO11353947,'202212010503422503270645,'202212011232472505789052,COCV_654,9000,2022-12-01 12:34:14.0,SHP,SHP,CNCL,herrera.elen_m,
95,CO11353947,'202212010503422503270645,'202212011406072506435953,COCV_874,9000,2022-12-01 14:12:06.0,SHP,SHP,CNCL,cardozoe.daniela_m,
96,CO11353949,'202212010505042503276456,'202212010507072503285755,COCV_549,9000,2022-12-01 05:08:54.0,SHP,SHP,BO,acosta.ismael_m,
97,CO11353956,'202212010548382503469551,'202212010550072503475942,COCV_381,9000,2022-12-01 05:50:36.0,SHP,SHP,BO,lopez.andrea_m,
98,CO11353966,'202212011108322505277668,'202212011110072505287910,COCV_556,9000,2022-12-01 11:21:37.0,SHP,SHP,BO,domico.leidy_m,
99,CO11353976,'202212011151332505514791,'202212011153072505523880,COCV_378,9000,2022-12-01 12:00:59.0,SHP,SHP,BO,fandino.leidy_m,
100,CO11353977,'202212011156332505541969,'202212011158072505549990,COCV_392,9000,2022-12-01 12:04:35.0,SHP,SHP,BO,vera.maria_m,
101,CO11353978,'202212011156332505541957,'202212011158072505549934,COCV_643,9000,2022-12-01 12:20:36.0,SHP,SHP,null,null,
102,CO11353978,'202212011156332505541957,'202212011223082505720618,COCV_381,9000,2022-12-01 12:24:52.0,SHP,SHP,BO,aguilera.catalina_m,
103,CO11353980,'202212011203322505586374,'202212011205072505596432,COCV_643,9000,2022-12-01 12:25:22.0,SHP,SHP,null,null,
104,CO11353981,'202212011201322505575765,'202212011203082505583957,COCV_643,9000,2022-12-01 12:23:23.0,SHP,SHP,null,null,
105,CO11353993,'202212010503422503270695,'202212010505082503277068,COCV_549,9000,2022-12-01 05:06:32.0,SHP,SHP,BO,acosta.ismael_m,
106,CO11354019,'202212011026322505073390,'202212011028162505081224,COCV_556,9000,2022-12-01 10:32:52.0,SHP,SHP,BO,usuga.claudia_m,
107,CO11354023,'202212011123322505359828,'202212011125072505367222,COCV_181,9000,2022-12-01 20:02:51.0,SHP,SHP,null,sena.laudid_m,
108,CO11354028,'202212011138332505436935,'202212011140082505445858,COCV_578,9000,2022-12-01 13:20:47.0,SHP,SHP,BO,burbano.marinela_m,
109,CO11354031,'202212011146332505484390,'202212011148072505492344,COCV_643,9000,2022-12-01 12:20:35.0,SHP,SHP,null,null,
110,CO11354037,'202212011205052505595876,'202212011207072505608586,COCV_401,9000,2022-12-01 13:20:24.0,SHP,SHP,null,null,
111,CO11354047,'202212011228342505755188,'202212011230182505769298,COCV_577,9000,2022-12-01 12:39:12.0,SHP,SHP,BO,escobar.diana_m,
112,CO11354052,'202212011233342505794020,'202212011235092505805197,COCV_411,9000,2022-12-01 12:38:31.0,SHP,SHP,BO,arenas.jenny_m,
113,CO11354053,'202212011238322505826633,'202212011240072505837774,COCV_643,9000,2022-12-01 12:45:56.0,SHP,SHP,BO,gomez.brayan_m,
114,CO11354055,'202212011245052505873106,'202212011246292505882721,COCV_155,9000,2022-12-01 12:56:04.0,SHP,SHP,BO,gamboa.yesika_m,
115,CO11354059,'202212011303342505999635,'202212011305082506009183,COCV_411,9000,2022-12-01 13:13:58.0,SHP,SHP,BO,arenas.jenny_m,
116,CO11354059,'202212011303342505999635,'202212011315122506074609,COCV_402,9000,2022-12-01 13:18:08.0,SHP,SHP,CNCL,ariza.rudby_m,
117,CO11354087,'202212011218342505683651,'202212011220092505695820,COCV_453,9000,2022-12-01 12:36:55.0,SHP,SHP,BO,garcia.jhon_m,
118,CO11354087,'202212011218342505683651,'202212011238152505824873,COCV_215,9000,2022-12-01 12:58:20.0,SHP,SHP,null,null,
119,CO11354130,'202212011353302506347134,'202212011355082506357237,COCV_556,9000,2022-12-01 14:07:05.0,SHP,SHP,BO,usuga.claudia_m,
120,CO11354152,'202212011431342506630518,'202212011432212506636035,COCV_190,9000,2022-12-01 14:34:39.0,SHP,SHP,BO,bejarano.amparo_m,
121,CO11354169,'202212011453312506795556,'202212011455092506808492,COCV_874,9000,2022-12-01 14:59:43.0,SHP,SHP,BO,cardozoe.daniela_m,
122,CO11354172,'202212011456352506819672,'202212011458092506830582,COCV_782,9000,2022-12-01 15:01:13.0,SHP,SHP,BO,montenegro.erika_m,
123,CO11354179,'202212011503372506878099,'202212011505112506890362,COCV_782,9000,2022-12-01 15:23:41.0,SHP,SHP,null,montenegro.erika_m,
