data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
51,CO11406657,'202301012038362703838754,'202301012040242703842606,COCV_549,9000,2023-01-02 04:23:48.0,SHP,SHP,null,gonzalez.daniela_m,
52,CO11406658,'202301012043352703847433,'202301012045242703848612,COCV_181,9000,2023-01-01 20:55:35.0,SHP,SHP,BO,zapata.alejandra_m,
53,CO11406663,'202301012056352703861615,'202301012058282703862638,COCV_155,9000,2023-01-01 21:03:42.0,SHP,SHP,BO,obando.mayra_m,
54,CO11406692,'202301012026372703824723,'202301012029002703826831,COCV_405,9000,2023-01-01 20:31:04.0,SHP,SHP,BO,garcia.alexandra_m,
55,CO11406731,'202301012141362703916206,'202301012143232703917338,COCV_402,9000,2023-01-01 22:03:25.0,SHP,SHP,null,null,
56,CO11406744,'202301012208382703944715,'202301012211062703952096,COCV_402,9000,2023-01-01 22:31:26.0,SHP,SHP,null,null,
57,CO11406746,'202301012208382703944700,'202301012211062703952054,COCV_545,9000,2023-01-01 22:12:01.0,SHP,SHP,BO,aya.alexander_m,
58,CO11406746,'202301012208382703944700,'202301012213032703953237,COCV_378,9000,2023-01-01 22:16:59.0,SHP,SHP,CNCL,garzon.judy_m,
59,CO11406749,'202301012216332703955940,'202301012219102703957210,COCV_185,9000,2023-01-01 22:39:26.0,SHP,SHP,null,null,
60,CO11406749,'202301012216332703955940,'202301012242242703991305,COCV_470,9000,2023-01-01 22:43:59.0,SHP,SHP,CNCL,herrera.geraldine_m,
61,CO11406798,'202301012236372703981033,'202301012238232703982354,COCV_101,9000,2023-01-02 03:27:10.0,SHP,SHP,null,quintero.dayan_m,
62,CO11406810,'202301012303402704013169,'202301012306082704014891,COCV_262,9000,2023-01-01 23:26:26.0,SHP,SHP,null,null,
63,CO11406816,'202301012316362704025897,'202301012317582704026565,COCV_545,9000,2023-01-01 23:19:50.0,SHP,SHP,BO,aya.alexander_m,
64,CO11406817,'202301012316362704025924,'202301012318002704026645,COCV_101,9000,2023-01-01 23:22:32.0,SHP,SHP,BO,quintero.dayan_m,
65,CO11406817,'202301012316362704025924,'202301012324052704035809,COCV_549,9000,2023-01-01 23:25:35.0,SHP,SHP,CNCL,gonzalez.daniela_m,
66,CO11406817,'202301012316362704025924,'202301020747242705666851,COCV_739,9000,2023-01-02 12:05:25.0,SHP,SHP,CNCL,fonseca.yissel_m,
67,CO11406819,'202301012318362704026964,'202301012320122704029364,COCV_262,9000,2023-01-01 23:40:26.0,SHP,SHP,null,null,
68,CO11406824,'202301012328382704039211,'202301012330022704040313,COCV_556,9000,2023-01-01 23:46:20.0,SHP,SHP,BO,usuga.claudia_m,
69,CO11406833,'202301012338362704050777,'202301012340242704054127,COCV_262,9000,2023-01-02 00:00:27.0,SHP,SHP,null,null,
70,CO11406844,'202301020018362704106858,'202301020021122704114562,COCV_411,9000,2023-01-02 00:25:01.0,SHP,SHP,BO,aldana.luz_m,
71,CO11406854,'202301020038392704132417,'202301020040242704136107,COCV_262,9000,2023-01-02 01:00:28.0,SHP,SHP,null,null,
72,CO11406859,'202301020048372704144842,'202301020050242704147856,COCV_964,9000,2023-01-02 01:10:28.0,SHP,SHP,null,null,
73,CO11406867,'202301020113392704175508,'202301020116012704177080,COCV_556,9000,2023-01-02 03:11:17.0,SHP,SHP,null,usuga.claudia_m,
74,CO11406879,'202301020143382704208755,'202301020145252704209931,COCV_549,9000,2023-01-02 01:47:29.0,SHP,SHP,BO,acosta.ismael_m,
75,CO11406888,'202301012348332704063737,'202301012350242704067953,COCV_262,9000,2023-01-02 12:11:30.0,SHP,SHP,BO,deleon.cindy_m,
76,CO11406891,'202301012358382704075455,'202301020000272704080699,COCV_185,9000,2023-01-02 00:13:36.0,SHP,SHP,BO,orozco.evelin_m,
77,CO11406895,'202301020001372704086278,'202301020003142704090658,COCV_549,9000,2023-01-02 00:05:56.0,SHP,SHP,BO,acosta.ismael_m,
78,CO11406902,'202301020026402704117862,'202301020029032704119865,COCV_549,9000,2023-01-02 00:32:50.0,SHP,SHP,BO,acosta.ismael_m,
79,CO11406904,'202301020028362704119326,'202301020030592704127262,COCV_549,9000,2023-01-02 00:33:06.0,SHP,SHP,BO,acosta.ismael_m,
80,CO11406904,'202301020028362704119326,'202301020034532704130447,COCV_156,9000,2023-01-02 12:07:59.0,SHP,SHP,CNCL,carreno.felix_m,
81,CO11406934,'202301020133372704197748,'202301020135532704198943,COCV_825,9000,2023-01-02 12:50:55.0,SHP,SHP,BO,ruiz.alexander_m,
82,CO11406936,'202301020143382704208763,'202301020145252704209910,COCV_549,9000,2023-01-02 01:46:57.0,SHP,SHP,BO,acosta.ismael_m,
83,CO11406943,'202301020213342704237199,'202301020215062704237882,COCV_378,9000,2023-01-02 12:11:29.0,SHP,SHP,BO,gutierrezv.angee_m,
84,CO11406949,'202301020243372704264538,'202301020245252704265577,COCV_453,9000,2023-01-02 12:20:27.0,SHP,SHP,null,null,
85,CO11406953,'202301020303392704280527,'202301020306132704282273,COCV_101,9000,2023-01-02 05:20:31.0,SHP,SHP,null,null,
86,CO11406954,'202301020303392704280516,'202301020306122704282232,COCV_101,9000,2023-01-02 03:26:30.0,SHP,SHP,null,null,
87,CO11406956,'202301020306392704282657,'202301020308152704283192,COCV_381,9000,2023-01-02 05:20:31.0,SHP,SHP,null,null,
