data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
128738,COCC11014502,1600.002.01,2022-09-27 13:48:33.0,null,'202209270113552164725970,Y,
128739,COCC11014502,1600.002.01,2022-09-27 13:48:33.0,null,'202209270113552164725970,Y,
128740,COCC11014504,1600.002.01,2022-09-27 01:52:25.0,null,'202209270115412164727408,Y,
128741,COCC11014504,1600.002.01,2022-09-27 01:52:25.0,null,'202209270115412164727408,Y,
128742,CO11245263,1600.002.01,2022-09-27 01:32:14.0,null,'202209270110022164714739,Y,
128743,COCC11014506,9000,2022-09-27 02:49:32.0,null,'202209270245302164880862,Y,
128744,COCC11014506,9000,2022-09-27 02:49:32.0,null,'202209270245302164880862,Y,
128745,COCC11014507,9000,2022-09-27 01:18:33.0,null,'202209270113552164725995,Y,
128746,COCC11014508,1600.002.01,2022-09-27 02:08:02.0,null,'202209270119482164733615,Y,
128747,COCC11014508,1600.002.01,2022-09-27 02:08:02.0,null,'202209270119482164733615,Y,
128748,COCC11014508,1600.002.01,2022-09-27 02:08:02.0,null,'202209270119482164733615,Y,
128749,COCC11014508,1600.002.01,2022-09-27 02:08:02.0,null,'202209270119482164733615,Y,
128750,CO11245355,1600.002.01,2022-09-27 01:43:02.0,null,'202209270113562164726041,N,
128751,COCC11014509,1600.002.01,2022-09-27 02:07:20.0,null,'202209270115422164727520,Y,
128752,COCC11014510,1600.002.01,2022-09-27 01:49:06.0,null,'202209270118022164728885,Y,
128753,COCC11014513,1600.002.01,2022-09-27 01:57:35.0,null,'202209270123482164744049,Y,
128754,COCC11014513,1600.002.01,2022-09-27 01:57:35.0,null,'202209270123482164744049,Y,
128755,COCC11014513,1600.002.01,2022-09-27 01:57:35.0,null,'202209270123482164744049,Y,
128756,COCC11014515,1600.002.01,2022-09-27 02:40:31.0,null,'202209270127582164749804,Y,
128757,COCC11014515,1600.002.01,2022-09-27 02:40:31.0,null,'202209270127582164749804,Y,
128758,COCC11014515,1600.002.01,2022-09-27 02:40:31.0,null,'202209270127582164749804,Y,
128759,CO11245356,1600.002.01,2022-09-27 01:39:43.0,null,'202209270118022164728904,Y,
128760,CO11245264,1600.002.01,2022-09-27 01:47:53.0,null,'202209270118022164728924,Y,
128761,CO11245268,1600.002.01,2022-09-27 02:17:43.0,null,'202209270118032164728945,Y,
128762,CO11245357,1600.002.01,2022-09-27 01:53:50.0,null,'202209270118032164728966,Y,
128763,CO11245357,1600.002.01,2022-09-27 01:53:50.0,null,'202209270118032164728966,Y,
128764,CO11245357,1600.002.01,2022-09-27 01:53:50.0,null,'202209270118032164728966,Y,
128765,CO11245267,1600.002.01,2022-09-27 01:40:00.0,null,'202209270118032164728999,Y,
128766,CO11245267,1600.002.01,2022-09-27 01:40:00.0,null,'202209270118032164728999,Y,
128767,CO11245267,1600.002.01,2022-09-27 01:40:00.0,null,'202209270118032164728999,Y,
128768,COCC11014518,1600.002.01,2022-09-27 06:25:47.0,null,'202209270250462164888103,Y,
128769,COCC11014518,1600.002.01,2022-09-27 06:25:47.0,null,'202209270250462164888103,Y,
128770,COCC11014518,1600.002.01,2022-09-27 06:25:47.0,null,'202209270250462164888103,Y,
128771,COCC11014518,1600.002.01,2022-09-27 06:25:47.0,null,'202209270250462164888103,Y,
128772,COCC11014519,1600.002.01,2022-09-27 01:53:35.0,null,'202209270122002164741179,Y,
128773,COCC11014520,1600.002.01,2022-09-27 01:38:48.0,null,'202209270122002164741160,N,
128774,CO11245269,1600.002,2022-09-27 16:36:22.0,null,'202209270119492164733695,Y,
128775,CO11245269,1600.002,2022-09-27 16:36:22.0,null,'202209270119492164733695,Y,
128776,CO11245359,1600.002.01,2022-09-27 14:35:07.0,null,'202209270119492164733669,Y,
128777,CO11245359,1600.002.01,2022-09-27 14:35:07.0,null,'202209270119492164733669,Y,
128778,COCC11014525,1600.002.01,2022-09-27 02:06:50.0,null,'202209270127582164749783,Y,
128779,COCC11014526,1600.002.01,2022-09-27 15:30:22.0,null,'202209270125492164746960,Y,
128780,COCC11014527,1600.002.01,2022-09-27 03:02:23.0,null,'202209270123482164743952,Y,
128781,COCC11014528,1600.002.01,2022-09-27 01:49:31.0,null,'202209270125482164746940,Y,
128782,COCC11014529,1600.002.01,2022-09-27 02:04:53.0,null,'202209270125542164747499,Y,
128783,COCC11014529,1600.002.01,2022-09-27 02:04:53.0,null,'202209270125542164747499,Y,
128784,CO11245361,1600.002.01,2022-09-27 01:40:50.0,null,'202209270123482164743903,Y,
128785,CO11245361,1600.002.01,2022-09-27 01:40:50.0,null,'202209270123482164743903,Y,
128786,COCC11014530,1600.002.01,2022-09-27 15:54:20.0,null,'202209270130002164751497,N,
128787,COCC11014530,1600.002.01,2022-09-27 15:54:20.0,null,'202209270130002164751497,N,
128788,COCC11014530,1600.002.01,2022-09-27 15:54:20.0,null,'202209270130002164751497,N,
128789,CO11245365,1600.002.01,2022-09-27 01:53:01.0,null,'202209270125512164747181,Y,
128790,CO11245364,1600.002.02,2022-09-27 01:59:26.0,null,'202209270127552164749512,Y,
128791,COCC11014535,1600.002.01,2022-09-27 02:44:48.0,null,'202209270130002164751529,N,
128792,COCC11014535,1600.002.01,2022-09-27 02:44:48.0,null,'202209270130002164751529,N,
128793,COCC11014538,1600.002.01,2022-09-27 02:19:11.0,null,'202209270131532164760103,Y,
128794,COCC11014540,1600.002.01,2022-09-27 14:55:34.0,null,'202209270133502164762959,Y,
128795,CO11245272,1600.002.01,2022-09-27 02:03:44.0,null,'202209270130012164751557,Y,
128796,CO11245272,1600.002.01,2022-09-27 02:03:44.0,null,'202209270130012164751557,Y,
128797,CO11245272,1600.002.01,2022-09-27 02:03:44.0,null,'202209270130012164751557,Y,
128798,CO11245272,1600.002.01,2022-09-27 02:03:44.0,null,'202209270130012164751557,Y,
128799,COCC11014541,1600.002.01,2022-09-27 02:04:59.0,null,'202209270138532164769813,N,
128800,COCC11014541,1600.002.01,2022-09-27 02:04:59.0,null,'202209270138532164769813,N,
128801,COCC11014541,1600.002.01,2022-09-27 02:04:59.0,null,'202209270138532164769813,N,
128802,CO11245367,1600.002.01,2022-09-27 01:55:41.0,null,'202209270133492164762884,Y,
128803,CO11245367,1600.002.01,2022-09-27 01:55:41.0,null,'202209270133492164762884,Y,
128804,CO11245375,1600.002.01,2022-09-27 14:42:48.0,null,'202209270133492164762861,Y,
